case_id,person_id,true_role
CASE027,P0292,Associate
CASE027,P0149,Vehicle Provider
CASE027,P0153,Logistics Coordinator
CASE027,P0547,Communicator
CASE027,P0068,Associate
CASE027,P0558,Unrelated Person
CASE027,P0688,Logistics Coordinator
CASE027,P0870,Associate
CASE027,P0327,Unrelated Person
CASE027,P0218,Associate
CASE027,P0823,Associate
CASE027,P0692,Unrelated Person
CASE027,P0971,Vehicle Provider
CASE027,P0975,Recruiter
CASE027,P0154,Unrelated Person
CASE027,P0664,Vehicle Provider
CASE027,P0258,Vehicle Provider
CASE027,P0066,Associate
CASE027,P0541,Vehicle Provider
CASE027,P0259,Unrelated Person
CASE027,P0467,Associate
CASE028,P0813,Coordinator
CASE028,P0054,Financial Intermediary
CASE028,P0146,False Lead
CASE028,P0250,Logistics Coordinator
CASE028,P0648,Recruiter
CASE028,P0502,Recruiter
CASE028,P0431,Recruiter
CASE028,P0430,Unrelated Person
CASE028,P0588,Document Handler
CASE028,P0226,Associate
CASE028,P0414,Recruiter
CASE028,P0003,Associate
CASE028,P0170,Recruiter
CASE029,P0849,Coordinator
CASE029,P0341,Financial Intermediary
CASE029,P0901,False Lead
CASE029,P0125,Operational Member
CASE029,P0171,Vehicle Provider
CASE029,P0378,Associate
CASE029,P0822,Logistics Coordinator
CASE029,P0842,Associate
CASE029,P0933,Vehicle Provider
CASE029,P0634,Logistics Coordinator
CASE029,P0810,Vehicle Provider
CASE029,P0282,Document Handler
CASE029,P0870,Communicator
CASE029,P0597,Vehicle Provider
CASE029,P0986,Logistics Coordinator
CASE029,P0322,Recruiter
CASE029,P0791,Recruiter
CASE029,P0845,Operational Member
CASE029,P0851,Logistics Coordinator
CASE030,P0026,Coordinator
CASE030,P0501,Financial Intermediary
CASE030,P0069,False Lead
CASE030,P0184,False Lead
CASE030,P0810,False Lead
CASE030,P0374,Unrelated Person
CASE030,P0320,Communicator
CASE030,P0477,Operational Member
CASE030,P0327,Logistics Coordinator
CASE030,P0813,Logistics Coordinator
CASE030,P0375,Communicator
CASE030,P0740,Logistics Coordinator
CASE030,P0011,Associate
CASE030,P0857,Document Handler
CASE030,P0354,Operational Member
CASE030,P0411,Logistics Coordinator
CASE030,P0027,Document Handler
CASE030,P0269,Document Handler
CASE030,P0818,Unrelated Person
CASE030,P0984,Document Handler
CASE030,P0883,Vehicle Provider
CASE030,P0355,Document Handler
CASE030,P0055,Recruiter
CASE030,P0697,Unrelated Person
CASE030,P0716,Document Handler
CASE030,P0478,Communicator
CASE030,P0880,Operational Member
CASE030,P0409,Operational Member
CASE030,P0489,Operational Member
CASE030,P0016,Associate
CASE030,P0758,Unrelated Person
CASE030,P0920,Communicator
CASE030,P0266,Document Handler
CASE030,P0596,Associate
CASE031,P0323,Coordinator
CASE031,P0805,Financial Intermediary
CASE031,P0514,False Lead
CASE031,P0260,False Lead
CASE031,P0160,False Lead
CASE031,P0585,False Lead
CASE031,P0635,False Lead
CASE031,P0495,False Lead
CASE031,P0629,False Lead
CASE031,P0117,Logistics Coordinator
CASE031,P0170,Unrelated Person
CASE031,P0978,Operational Member
CASE031,P0694,Associate
CASE031,P0595,Unrelated Person
CASE031,P0139,Logistics Coordinator
CASE031,P0999,Vehicle Provider
CASE031,P0998,Vehicle Provider
CASE031,P0211,Document Handler
CASE031,P0533,Unrelated Person
CASE031,P0440,Vehicle Provider
CASE031,P0778,Operational Member
CASE031,P0927,Communicator
CASE031,P0770,Associate
CASE031,P0016,Unrelated Person
CASE031,P0494,Document Handler
CASE031,P0107,Recruiter
CASE031,P0603,Operational Member
CASE031,P0539,Operational Member
CASE031,P0898,Logistics Coordinator
CASE031,P0997,Unrelated Person
CASE031,P0723,Logistics Coordinator
CASE031,P0466,Operational Member
CASE031,P0541,Communicator
CASE031,P0480,Operational Member
CASE031,P0492,Operational Member
CASE031,P0885,Document Handler
CASE031,P0922,Document Handler
CASE031,P0940,Communicator
CASE031,P0656,Communicator
CASE031,P0034,Document Handler
CASE031,P0055,Logistics Coordinator
CASE031,P0593,Operational Member
CASE031,P0611,Unrelated Person
CASE031,P0780,Associate
CASE031,P0022,Communicator
CASE031,P0575,Unrelated Person
CASE031,P0269,Communicator
CASE031,P0263,Operational Member
CASE031,P0327,Unrelated Person
CASE031,P0423,Unrelated Person
CASE031,P0243,Operational Member
CASE031,P0929,Unrelated Person
CASE031,P0788,Operational Member
CASE031,P0058,Unrelated Person
CASE031,P0484,Associate
CASE031,P0100,Vehicle Provider
CASE031,P0353,Vehicle Provider
CASE031,P0763,Unrelated Person
CASE031,P0869,Logistics Coordinator
CASE031,P0787,Recruiter
CASE031,P0481,Logistics Coordinator
CASE031,P0802,Unrelated Person
CASE031,P0883,Vehicle Provider
CASE031,P0919,Recruiter
CASE031,P0094,Operational Member
CASE031,P0738,Associate
CASE031,P0120,Unrelated Person
CASE031,P0207,Vehicle Provider
CASE031,P0948,Recruiter
CASE031,P0281,Communicator
CASE031,P0033,Recruiter
CASE031,P0512,Associate
CASE031,P0192,Logistics Coordinator
CASE031,P0887,Recruiter
CASE031,P0557,Communicator
CASE031,P0054,Vehicle Provider
CASE031,P0989,Document Handler
CASE032,P0019,Coordinator
CASE032,P0791,Financial Intermediary
CASE032,P0832,False Lead
CASE032,P0918,Operational Member
CASE032,P0615,Communicator
CASE032,P0716,Logistics Coordinator
CASE032,P0210,Vehicle Provider
CASE032,P0614,Associate
CASE032,P0207,Logistics Coordinator
CASE032,P0773,Associate
CASE032,P0994,Vehicle Provider
CASE032,P0649,Document Handler
CASE032,P0843,Document Handler
CASE032,P0138,Operational Member
CASE032,P0583,Logistics Coordinator
CASE032,P0631,Document Handler
CASE032,P0332,Document Handler
CASE032,P0866,Logistics Coordinator
CASE033,P0535,Coordinator
CASE033,P0490,Financial Intermediary
CASE033,P0752,False Lead
CASE033,P0094,Bridge / Communicator
CASE033,P0979,Unrelated Person
CASE033,P0095,Communicator
CASE033,P0059,Logistics Coordinator
CASE033,P0844,Document Handler
CASE033,P0560,Vehicle Provider
CASE033,P0675,Vehicle Provider
CASE033,P0642,Associate
CASE033,P0823,Unrelated Person
CASE033,P0799,Communicator
CASE033,P0388,Logistics Coordinator
CASE034,P0287,Coordinator
CASE034,P0216,Financial Intermediary
CASE034,P0251,False Lead
CASE035,P0414,Coordinator
CASE035,P0894,Financial Intermediary
CASE035,P0587,False Lead
CASE035,P0628,False Lead
CASE035,P0124,False Lead
CASE035,P0193,False Lead
CASE035,P0856,False Lead
CASE035,P0418,Communicator
CASE035,P0770,Vehicle Provider
CASE035,P0180,Operational Member
CASE035,P0483,Associate
CASE035,P0938,Communicator
CASE035,P0064,Unrelated Person
CASE035,P0660,Unrelated Person
CASE035,P0076,Unrelated Person
CASE035,P0235,Vehicle Provider
CASE035,P0387,Operational Member
CASE035,P0925,Vehicle Provider
CASE035,P0299,Unrelated Person
CASE035,P0244,Associate
CASE035,P0291,Operational Member
CASE035,P0530,Logistics Coordinator
CASE035,P0243,Logistics Coordinator
CASE035,P0261,Associate
CASE035,P0727,Document Handler
CASE035,P0832,Unrelated Person
CASE035,P0210,Document Handler
CASE035,P0070,Document Handler
CASE035,P0537,Associate
CASE035,P0968,Associate
CASE035,P0930,Document Handler
CASE035,P0741,Logistics Coordinator
CASE035,P0236,Operational Member
CASE035,P0361,Recruiter
CASE035,P0569,Associate
CASE035,P0276,Vehicle Provider
CASE035,P0931,Vehicle Provider
CASE035,P0100,Vehicle Provider
CASE035,P0839,Document Handler
CASE035,P0428,Document Handler
CASE035,P0729,Document Handler
CASE035,P0564,Communicator
CASE035,P0001,Communicator
CASE035,P0423,Operational Member
CASE035,P0252,Associate
CASE035,P0590,Recruiter
CASE035,P0278,Associate
CASE035,P0306,Recruiter
CASE035,P0972,Vehicle Provider
CASE035,P0020,Logistics Coordinator
CASE035,P0300,Communicator
CASE035,P0634,Operational Member
CASE036,P0970,Coordinator
CASE036,P0954,Financial Intermediary
CASE036,P0351,False Lead
CASE036,P0595,Operational Member
CASE036,P0851,Associate
CASE036,P0437,Document Handler
CASE036,P0442,Communicator
CASE036,P0644,Operational Member
CASE037,P0723,Coordinator
CASE037,P0557,Financial Intermediary
CASE037,P0004,False Lead
CASE037,P0441,Logistics Coordinator
CASE037,P0599,Document Handler
CASE037,P0094,Recruiter
CASE037,P0926,Document Handler
CASE037,P0063,Operational Member
CASE037,P0159,Communicator
CASE037,P0644,Vehicle Provider
CASE037,P0047,Vehicle Provider
CASE037,P0708,Communicator
CASE037,P0419,Recruiter
CASE037,P0852,Recruiter
CASE037,P0545,Associate
CASE037,P0881,Recruiter
CASE037,P0609,Recruiter
CASE038,P0899,Coordinator
CASE038,P0938,Financial Intermediary
CASE038,P0239,False Lead
CASE038,P0158,Bridge / Communicator
CASE038,P0818,Document Handler
CASE038,P0514,Vehicle Provider
CASE038,P0426,Logistics Coordinator
CASE038,P0781,Associate
CASE039,P0826,Coordinator
CASE039,P0285,Financial Intermediary
CASE039,P0342,False Lead
CASE039,P0234,False Lead
CASE039,P0711,False Lead
CASE039,P0608,False Lead
CASE039,P0811,False Lead
CASE039,P0054,Logistics Coordinator
CASE039,P0458,Logistics Coordinator
CASE039,P0364,Recruiter
CASE039,P0085,Communicator
CASE039,P0244,Document Handler
CASE039,P0463,Document Handler
CASE039,P0730,Vehicle Provider
CASE039,P0564,Communicator
CASE039,P0279,Associate
CASE039,P0981,Communicator
CASE039,P0597,Unrelated Person
CASE039,P0143,Operational Member
CASE039,P0581,Vehicle Provider
CASE039,P0264,Communicator
CASE039,P0817,Unrelated Person
CASE039,P0004,Operational Member
CASE039,P0894,Operational Member
CASE039,P0920,Unrelated Person
CASE039,P0425,Recruiter
CASE039,P0490,Logistics Coordinator
CASE039,P0984,Document Handler
CASE039,P0737,Associate
CASE039,P0047,Unrelated Person
CASE039,P0697,Vehicle Provider
CASE039,P0961,Vehicle Provider
CASE039,P0093,Logistics Coordinator
CASE039,P0231,Operational Member
CASE039,P0089,Recruiter
CASE039,P0033,Logistics Coordinator
CASE039,P0945,Logistics Coordinator
CASE039,P0735,Recruiter
CASE039,P0139,Communicator
CASE039,P0947,Vehicle Provider
CASE039,P0302,Communicator
CASE039,P0477,Document Handler
CASE039,P0621,Vehicle Provider
CASE039,P0549,Vehicle Provider
CASE039,P0413,Vehicle Provider
CASE039,P0729,Logistics Coordinator
CASE039,P0024,Document Handler
CASE039,P0485,Recruiter
CASE039,P0766,Recruiter
CASE039,P0319,Unrelated Person
CASE039,P0733,Logistics Coordinator
CASE040,P0869,Coordinator
CASE040,P0581,Financial Intermediary
CASE040,P0335,False Lead
CASE041,P0772,Coordinator
CASE041,P0917,Financial Intermediary
CASE041,P0759,False Lead
CASE041,P0636,False Lead
CASE041,P0671,Bridge / Communicator
CASE041,P0714,Recruiter
CASE041,P0659,Unrelated Person
CASE041,P0311,Unrelated Person
CASE041,P0176,Associate
CASE041,P0535,Document Handler
CASE041,P0186,Logistics Coordinator
CASE041,P0095,Unrelated Person
CASE041,P0461,Associate
CASE041,P0544,Communicator
CASE041,P0153,Document Handler
CASE041,P0640,Associate
CASE041,P0382,Logistics Coordinator
CASE041,P0954,Vehicle Provider
CASE041,P0610,Communicator
CASE041,P0124,Vehicle Provider
CASE041,P0947,Vehicle Provider
CASE041,P0928,Associate
CASE041,P0729,Document Handler
CASE041,P0410,Associate
CASE041,P0310,Associate
CASE041,P0534,Vehicle Provider
CASE042,P0431,Coordinator
CASE042,P0529,Financial Intermediary
CASE042,P0194,False Lead
CASE042,P0513,Document Handler
CASE042,P0754,Communicator
CASE042,P0013,Logistics Coordinator
CASE042,P0427,Recruiter
CASE042,P0490,Operational Member
CASE042,P0512,Logistics Coordinator
CASE042,P0588,Operational Member
CASE042,P0546,Logistics Coordinator
CASE042,P0987,Document Handler
CASE042,P0954,Unrelated Person
CASE042,P0217,Operational Member
CASE042,P0468,Logistics Coordinator
CASE042,P0772,Operational Member
CASE042,P0583,Document Handler
CASE042,P0907,Document Handler
CASE042,P0043,Operational Member
CASE043,P0310,Coordinator
CASE043,P0133,Financial Intermediary
CASE043,P0844,False Lead
CASE043,P0984,Logistics Coordinator
CASE043,P0074,Logistics Coordinator
CASE044,P0227,Coordinator
CASE044,P0689,Financial Intermediary
CASE044,P0052,False Lead
CASE044,P0758,Recruiter
CASE044,P0747,Recruiter
CASE044,P0800,Communicator
CASE044,P0449,Recruiter
CASE044,P0934,Operational Member
CASE044,P0030,Unrelated Person
CASE044,P0823,Recruiter
CASE044,P0481,Communicator
CASE044,P0476,Associate
CASE044,P0049,Logistics Coordinator
CASE044,P0517,Vehicle Provider
CASE044,P0976,Communicator
CASE044,P0600,Vehicle Provider
CASE044,P0919,Operational Member
CASE044,P0892,Unrelated Person
CASE044,P0729,Document Handler
CASE045,P0125,Coordinator
CASE045,P0916,Financial Intermediary
CASE045,P0281,False Lead
CASE045,P0573,Communicator
CASE045,P0755,Vehicle Provider
CASE045,P0242,Document Handler
CASE045,P0748,Logistics Coordinator
CASE045,P0768,Logistics Coordinator
CASE045,P0297,Vehicle Provider
CASE045,P0002,Document Handler
CASE045,P0785,Operational Member
CASE045,P0261,Unrelated Person
CASE045,P0491,Unrelated Person
CASE045,P0055,Associate
CASE046,P0253,Coordinator
CASE046,P0170,Financial Intermediary
CASE046,P0296,False Lead
CASE046,P0498,Operational Member
CASE047,P0296,Coordinator
CASE047,P0817,Financial Intermediary
CASE047,P0195,False Lead
CASE047,P0443,Bridge / Communicator
CASE048,P0632,Coordinator
CASE048,P0482,Financial Intermediary
CASE048,P0419,False Lead
CASE048,P0961,False Lead
CASE048,P0144,False Lead
CASE048,P0394,Logistics Coordinator
CASE048,P0947,Operational Member
CASE048,P0378,Communicator
CASE048,P0005,Document Handler
CASE048,P0231,Operational Member
CASE048,P0346,Unrelated Person
CASE048,P0228,Communicator
CASE048,P0564,Communicator
CASE048,P0593,Associate
CASE048,P0930,Recruiter
CASE048,P0053,Vehicle Provider
CASE048,P0673,Unrelated Person
CASE048,P0124,Document Handler
CASE048,P0894,Communicator
CASE048,P0422,Recruiter
CASE048,P0734,Document Handler
CASE048,P0235,Communicator
CASE048,P0264,Logistics Coordinator
CASE048,P0359,Vehicle Provider
CASE048,P0230,Document Handler
CASE048,P0563,Unrelated Person
CASE048,P0709,Document Handler
CASE048,P0506,Communicator
CASE048,P0111,Document Handler
CASE048,P0873,Associate
CASE048,P0035,Document Handler
CASE048,P0022,Unrelated Person
CASE048,P0297,Document Handler
CASE048,P0533,Vehicle Provider
CASE048,P0558,Unrelated Person
CASE048,P0731,Communicator
CASE048,P0464,Unrelated Person
CASE049,P0736,Coordinator
CASE049,P0837,Financial Intermediary
CASE049,P0224,False Lead
CASE049,P0662,False Lead
CASE049,P0145,Communicator
CASE049,P0923,Unrelated Person
CASE049,P0507,Document Handler
CASE049,P0324,Associate
CASE049,P0165,Document Handler
CASE049,P0059,Communicator
CASE049,P0998,Communicator
CASE049,P0172,Recruiter
CASE049,P0153,Unrelated Person
CASE049,P0896,Logistics Coordinator
CASE049,P0405,Document Handler
CASE049,P0156,Logistics Coordinator
CASE049,P1000,Unrelated Person
CASE049,P0616,Vehicle Provider
CASE049,P0274,Document Handler
CASE049,P0843,Associate
CASE049,P0147,Vehicle Provider
CASE049,P0818,Communicator
CASE049,P0287,Logistics Coordinator
CASE049,P0417,Unrelated Person
CASE049,P0125,Document Handler
CASE049,P0755,Logistics Coordinator
CASE049,P0216,Operational Member
CASE050,P0118,Coordinator
CASE050,P0156,Financial Intermediary
CASE050,P0942,False Lead
CASE050,P0278,False Lead
CASE050,P0430,False Lead
CASE050,P0843,False Lead
CASE050,P0700,Logistics Coordinator
CASE050,P0393,Unrelated Person
CASE050,P0486,Recruiter
CASE050,P0691,Communicator
CASE050,P0046,Document Handler
CASE050,P0433,Associate
CASE050,P0503,Logistics Coordinator
CASE050,P0272,Vehicle Provider
CASE050,P0136,Unrelated Person
CASE050,P0630,Logistics Coordinator
CASE050,P0544,Operational Member
CASE050,P0533,Logistics Coordinator
CASE050,P0080,Recruiter
CASE050,P0065,Operational Member
CASE050,P0575,Associate
CASE050,P0653,Vehicle Provider
CASE050,P0453,Document Handler
CASE050,P0333,Recruiter
CASE050,P0534,Document Handler
CASE050,P0720,Logistics Coordinator
CASE050,P0021,Document Handler
CASE050,P0686,Associate
CASE050,P0816,Communicator
CASE050,P0984,Communicator
CASE050,P0013,Vehicle Provider
CASE050,P0938,Document Handler
CASE050,P0190,Unrelated Person
CASE050,P0378,Vehicle Provider
CASE050,P0582,Unrelated Person
CASE050,P0732,Communicator
CASE050,P0956,Document Handler
CASE050,P0998,Document Handler
CASE050,P0180,Communicator
CASE050,P0482,Vehicle Provider
CASE050,P0227,Communicator
CASE050,P0943,Logistics Coordinator
CASE050,P0401,Associate
CASE050,P0441,Vehicle Provider
CASE051,P0009,Coordinator
CASE051,P0201,Financial Intermediary
CASE051,P0145,False Lead
CASE052,P0086,Coordinator
CASE052,P0716,Financial Intermediary
CASE052,P0783,False Lead
CASE052,P0102,Operational Member
CASE053,P0968,Coordinator
CASE053,P0494,Financial Intermediary
CASE053,P0873,False Lead
CASE053,P0158,Bridge / Communicator
CASE053,P0774,Operational Member
CASE053,P0808,Communicator
CASE053,P0438,Document Handler
CASE053,P0874,Operational Member
CASE053,P0241,Logistics Coordinator
CASE053,P0988,Unrelated Person
CASE053,P0901,Vehicle Provider
CASE053,P0688,Associate
CASE054,P0497,Coordinator
CASE054,P0366,Financial Intermediary
CASE054,P0126,False Lead
CASE054,P0251,Document Handler
CASE054,P0815,Communicator
CASE054,P0287,Vehicle Provider
CASE054,P0053,Document Handler
CASE054,P0559,Vehicle Provider
CASE055,P0476,Coordinator
CASE055,P0101,Financial Intermediary
CASE055,P0964,False Lead
CASE055,P0117,Operational Member
CASE055,P0563,Logistics Coordinator
CASE055,P0712,Logistics Coordinator
CASE055,P0398,Unrelated Person
CASE055,P0856,Operational Member
CASE055,P0430,Associate
CASE055,P0426,Recruiter
CASE055,P0402,Document Handler
CASE055,P0981,Vehicle Provider
CASE055,P0280,Vehicle Provider
CASE055,P0996,Document Handler
CASE055,P0711,Communicator
CASE055,P0890,Vehicle Provider
CASE055,P0011,Recruiter
CASE056,P0179,Coordinator
CASE056,P0725,Financial Intermediary
CASE056,P0698,False Lead
CASE056,P0532,False Lead
CASE056,P0124,False Lead
CASE056,P0688,Unrelated Person
CASE056,P0485,Document Handler
CASE056,P0986,Logistics Coordinator
CASE056,P0379,Operational Member
CASE056,P0687,Associate
CASE056,P0783,Logistics Coordinator
CASE056,P0607,Unrelated Person
CASE056,P0847,Communicator
CASE056,P0315,Communicator
CASE056,P0702,Logistics Coordinator
CASE056,P0992,Operational Member
CASE056,P0251,Recruiter
CASE056,P0480,Operational Member
CASE056,P0178,Vehicle Provider
CASE056,P0728,Associate
CASE056,P0966,Communicator
CASE056,P0555,Vehicle Provider
CASE056,P0192,Operational Member
CASE056,P0809,Associate
CASE056,P0406,Associate
CASE056,P0822,Vehicle Provider
CASE056,P0699,Vehicle Provider
CASE056,P0775,Operational Member
CASE056,P0297,Communicator
CASE056,P0328,Vehicle Provider
CASE056,P0429,Recruiter
CASE057,P0851,Coordinator
CASE057,P0285,Financial Intermediary
CASE057,P0714,False Lead
CASE058,P0637,Coordinator
CASE058,P0821,Financial Intermediary
CASE058,P0187,False Lead
CASE058,P0828,Bridge / Communicator
CASE058,P0193,Associate
CASE058,P0543,Associate
CASE058,P0487,Operational Member
CASE058,P0862,Vehicle Provider
CASE058,P0373,Associate
CASE058,P0771,Operational Member
CASE058,P0424,Logistics Coordinator
CASE058,P0426,Associate
CASE058,P0602,Document Handler
CASE058,P0350,Unrelated Person
CASE059,P0780,Coordinator
CASE059,P0642,Financial Intermediary
CASE059,P0678,False Lead
CASE059,P0009,False Lead
CASE059,P0405,False Lead
CASE059,P0529,False Lead
CASE059,P0373,Communicator
CASE059,P0223,Vehicle Provider
CASE059,P0671,Document Handler
CASE059,P0077,Associate
CASE059,P0075,Document Handler
CASE059,P0325,Associate
CASE059,P0466,Operational Member
CASE059,P0850,Document Handler
CASE059,P0958,Operational Member
CASE059,P0334,Associate
CASE059,P0117,Associate
CASE059,P0818,Associate
CASE059,P0676,Recruiter
CASE059,P0131,Associate
CASE059,P0425,Document Handler
CASE059,P0320,Document Handler
CASE059,P0130,Document Handler
CASE059,P0551,Communicator
CASE059,P0296,Unrelated Person
CASE059,P0970,Operational Member
CASE059,P0248,Operational Member
CASE059,P0960,Operational Member
CASE059,P0071,Recruiter
CASE059,P0541,Document Handler
CASE059,P0585,Vehicle Provider
CASE059,P0019,Logistics Coordinator
CASE059,P0503,Operational Member
CASE059,P0445,Logistics Coordinator
CASE059,P0617,Document Handler
CASE059,P0426,Document Handler
CASE059,P0157,Unrelated Person
CASE059,P0324,Unrelated Person
CASE059,P0140,Vehicle Provider
CASE059,P0613,Document Handler
CASE059,P0458,Vehicle Provider
CASE059,P0193,Operational Member
CASE059,P0603,Operational Member
CASE059,P0885,Operational Member
CASE059,P0207,Operational Member
CASE059,P0584,Communicator
CASE059,P0450,Document Handler
CASE059,P0692,Associate
CASE060,P0577,Coordinator
CASE060,P0884,Financial Intermediary
CASE060,P1000,False Lead
CASE060,P0557,False Lead
CASE060,P0354,False Lead
CASE060,P0062,Recruiter
CASE060,P0713,Recruiter
CASE060,P0373,Unrelated Person
CASE060,P0311,Communicator
CASE060,P0358,Operational Member
CASE060,P0374,Recruiter
CASE060,P0758,Unrelated Person
CASE060,P0696,Associate
CASE060,P0666,Associate
CASE060,P0968,Communicator
CASE060,P0498,Document Handler
CASE060,P0371,Operational Member
CASE060,P0917,Unrelated Person
CASE060,P0035,Recruiter
CASE060,P0733,Logistics Coordinator
CASE060,P0033,Associate
CASE060,P0316,Recruiter
CASE060,P0730,Unrelated Person
CASE060,P0934,Vehicle Provider
CASE060,P0529,Operational Member
CASE060,P0263,Recruiter
CASE060,P0381,Associate
CASE060,P0684,Unrelated Person
CASE060,P0981,Communicator
CASE060,P0580,Unrelated Person
CASE060,P0550,Vehicle Provider
CASE060,P0370,Vehicle Provider
CASE060,P0830,Operational Member
CASE060,P0559,Operational Member
CASE060,P0851,Vehicle Provider
CASE060,P0960,Recruiter
CASE060,P0494,Unrelated Person
CASE060,P0697,Operational Member
CASE060,P0241,Operational Member
CASE061,P0353,Coordinator
CASE061,P0432,Financial Intermediary
CASE061,P0023,False Lead
CASE061,P0996,False Lead
CASE061,P0740,False Lead
CASE061,P0331,False Lead
CASE061,P0001,False Lead
CASE061,P0103,False Lead
CASE061,P0136,False Lead
CASE061,P0035,Communicator
CASE061,P0715,Operational Member
CASE061,P0133,Document Handler
CASE061,P0497,Unrelated Person
CASE061,P0879,Operational Member
CASE061,P0661,Unrelated Person
CASE061,P0414,Recruiter
CASE061,P0198,Logistics Coordinator
CASE061,P0474,Unrelated Person
CASE061,P0115,Communicator
CASE061,P0411,Associate
CASE061,P0617,Operational Member
CASE061,P0711,Unrelated Person
CASE061,P0493,Logistics Coordinator
CASE061,P0549,Logistics Coordinator
CASE061,P0899,Communicator
CASE061,P0294,Unrelated Person
CASE061,P0839,Operational Member
CASE061,P0961,Associate
CASE061,P0345,Communicator
CASE061,P0826,Associate
CASE061,P0544,Logistics Coordinator
CASE061,P0923,Vehicle Provider
CASE061,P0933,Operational Member
CASE061,P0492,Communicator
CASE061,P0050,Associate
CASE061,P0456,Operational Member
CASE061,P0116,Operational Member
CASE061,P0356,Recruiter
CASE061,P0363,Recruiter
CASE061,P0908,Communicator
CASE061,P0072,Recruiter
CASE061,P0752,Associate
CASE061,P0399,Communicator
CASE061,P0855,Associate
CASE061,P0114,Associate
CASE061,P0800,Document Handler
CASE061,P0510,Vehicle Provider
CASE061,P0371,Recruiter
CASE061,P0620,Operational Member
CASE061,P0272,Unrelated Person
CASE061,P0288,Unrelated Person
CASE061,P0346,Vehicle Provider
CASE061,P0816,Document Handler
CASE061,P0968,Recruiter
CASE061,P0779,Associate
CASE061,P0350,Document Handler
CASE061,P0298,Communicator
CASE061,P0370,Associate
CASE061,P0631,Document Handler
CASE061,P0650,Associate
CASE061,P0327,Operational Member
CASE061,P0459,Document Handler
CASE061,P0890,Document Handler
CASE061,P0725,Document Handler
CASE061,P0766,Unrelated Person
CASE061,P0902,Vehicle Provider
CASE061,P0049,Associate
CASE061,P0280,Vehicle Provider
CASE061,P0435,Logistics Coordinator
CASE061,P0501,Unrelated Person
CASE061,P0601,Logistics Coordinator
CASE061,P0379,Communicator
CASE061,P0821,Communicator
CASE061,P0321,Operational Member
CASE062,P0901,Coordinator
CASE062,P0794,Financial Intermediary
CASE062,P0395,False Lead
CASE062,P0816,False Lead
CASE062,P0625,Bridge / Communicator
CASE062,P0404,False Lead
CASE062,P0314,Vehicle Provider
CASE062,P0463,Operational Member
CASE062,P0366,Vehicle Provider
CASE062,P0108,Operational Member
CASE062,P0757,Communicator
CASE062,P0456,Logistics Coordinator
CASE062,P0200,Logistics Coordinator
CASE062,P0824,Document Handler
CASE062,P0363,Associate
CASE062,P0980,Associate
CASE062,P0895,Communicator
CASE062,P0328,Logistics Coordinator
CASE062,P0519,Operational Member
CASE062,P0664,Communicator
CASE062,P0782,Communicator
CASE062,P0199,Vehicle Provider
CASE062,P0070,Unrelated Person
CASE062,P0359,Unrelated Person
CASE062,P0053,Document Handler
CASE062,P0287,Logistics Coordinator
CASE062,P0653,Document Handler
CASE062,P0915,Associate
CASE062,P0446,Operational Member
CASE062,P0112,Associate
CASE062,P0297,Operational Member
CASE062,P0060,Recruiter
CASE062,P0996,Recruiter
CASE062,P0806,Operational Member
CASE062,P0345,Document Handler
CASE062,P0280,Communicator
CASE062,P0853,Logistics Coordinator
CASE062,P0370,Vehicle Provider
CASE062,P0288,Operational Member
CASE062,P0181,Logistics Coordinator
CASE062,P0875,Communicator
CASE062,P0469,Communicator
CASE062,P0969,Communicator
CASE062,P0544,Logistics Coordinator
CASE063,P0148,Coordinator
CASE063,P0471,Financial Intermediary
CASE063,P0615,False Lead
CASE063,P0973,False Lead
CASE063,P0689,False Lead
CASE063,P0064,False Lead
CASE063,P0431,False Lead
CASE063,P0116,Associate
CASE063,P0272,Communicator
CASE063,P0694,Vehicle Provider
CASE063,P0229,Operational Member
CASE063,P0005,Associate
CASE063,P0017,Document Handler
CASE063,P0124,Associate
CASE063,P0545,Document Handler
CASE063,P0707,Unrelated Person
CASE063,P0223,Communicator
CASE063,P0390,Recruiter
CASE063,P0659,Unrelated Person
CASE063,P0806,Logistics Coordinator
CASE063,P0607,Logistics Coordinator
CASE063,P0307,Communicator
CASE063,P0448,Associate
CASE063,P0999,Document Handler
CASE063,P0484,Logistics Coordinator
CASE063,P0812,Unrelated Person
CASE063,P0370,Recruiter
CASE063,P0168,Operational Member
CASE063,P0289,Associate
CASE063,P0930,Unrelated Person
CASE063,P0306,Logistics Coordinator
CASE063,P0027,Associate
CASE063,P0611,Unrelated Person
CASE063,P0986,Recruiter
CASE063,P0145,Vehicle Provider
CASE063,P0469,Recruiter
CASE063,P0630,Communicator
CASE063,P0451,Vehicle Provider
CASE063,P0575,Vehicle Provider
CASE063,P0216,Document Handler
CASE063,P0135,Recruiter
CASE063,P0646,Vehicle Provider
CASE063,P0947,Recruiter
CASE063,P0861,Operational Member
CASE063,P0499,Unrelated Person
CASE063,P0786,Recruiter
CASE063,P0134,Unrelated Person
CASE063,P0350,Logistics Coordinator
CASE063,P0001,Vehicle Provider
CASE063,P0206,Unrelated Person
CASE063,P0282,Operational Member
CASE063,P0173,Associate
CASE063,P0189,Operational Member
CASE063,P0943,Operational Member
CASE063,P0388,Recruiter
CASE063,P0601,Logistics Coordinator
CASE063,P0746,Associate
CASE063,P0164,Communicator
