event_id,case_id,person_id,location_id,timestamp,event_type,source
CASE060-LE0309,CASE060,P0557,LOC0261,2025-07-24T00:03:00,routine,witness
CASE060-LE0310,CASE060,P0316,LOC0174,2025-07-12T00:03:00,routine,witness
CASE060-LE0311,CASE060,P0373,LOC0262,2025-07-17T00:03:00,routine,witness
CASE061-LE0312,CASE061,P0353,LOC0135,2026-05-31T23:31:00,co-location,surveillance
CASE061-LE0313,CASE061,P0432,LOC0135,2026-06-01T19:31:00,co-location,surveillance
CASE061-LE0314,CASE061,P0601,LOC0112,2026-06-02T23:31:00,routine,witness
CASE061-LE0315,CASE061,P0902,LOC0209,2026-05-19T23:31:00,routine,witness
CASE061-LE0316,CASE061,P0133,LOC0218,2026-05-31T23:31:00,routine,witness
CASE062-LE0317,CASE062,P0901,LOC0185,2025-12-25T16:17:00,co-location,surveillance
CASE062-LE0318,CASE062,P0794,LOC0185,2025-12-27T13:17:00,co-location,surveillance
CASE062-LE0319,CASE062,P0625,LOC0185,2025-12-27T16:17:00,co-location,surveillance
CASE062-LE0320,CASE062,P0370,LOC0196,2025-12-18T16:17:00,routine,witness
CASE062-LE0321,CASE062,P0463,LOC0229,2025-12-18T16:17:00,routine,witness
CASE062-LE0322,CASE062,P0053,LOC0087,2025-12-18T16:17:00,routine,witness
CASE063-LE0323,CASE063,P0148,LOC0146,2025-11-12T01:13:00,co-location,surveillance
CASE063-LE0324,CASE063,P0471,LOC0146,2025-11-13T00:13:00,co-location,surveillance
CASE063-LE0325,CASE063,P0306,LOC0047,2025-11-10T05:13:00,routine,witness
CASE063-LE0326,CASE063,P0707,LOC0273,2025-11-04T05:13:00,routine,witness
CASE063-LE0327,CASE063,P0689,LOC0219,2025-11-09T05:13:00,routine,witness
CASE064-LE0328,CASE064,P0753,LOC0116,2025-06-07T20:02:00,co-location,surveillance
CASE064-LE0329,CASE064,P0462,LOC0116,2025-06-07T19:02:00,co-location,surveillance
CASE064-LE0330,CASE064,P0169,LOC0256,2025-06-06T20:02:00,routine,witness
CASE064-LE0331,CASE064,P0462,LOC0260,2025-06-08T20:02:00,routine,witness
CASE064-LE0332,CASE064,P0488,LOC0051,2025-05-29T20:02:00,routine,witness
CASE065-LE0333,CASE065,P0790,LOC0116,2025-07-09T07:51:00,co-location,surveillance
CASE065-LE0334,CASE065,P0560,LOC0116,2025-07-09T07:51:00,co-location,surveillance
CASE065-LE0335,CASE065,P0561,LOC0234,2025-06-27T08:51:00,routine,witness
CASE065-LE0336,CASE065,P0598,LOC0256,2025-07-08T08:51:00,routine,witness
CASE065-LE0337,CASE065,P0795,LOC0158,2025-07-08T08:51:00,routine,witness
CASE066-LE0338,CASE066,P0778,LOC0100,2025-12-21T18:54:00,co-location,surveillance
CASE066-LE0339,CASE066,P0180,LOC0100,2025-12-20T15:54:00,co-location,surveillance
CASE066-LE0340,CASE066,P0671,LOC0100,2025-12-22T16:54:00,co-location,surveillance
CASE066-LE0341,CASE066,P0501,LOC0216,2025-12-11T18:54:00,routine,witness
CASE066-LE0342,CASE066,P0274,LOC0132,2025-12-13T18:54:00,routine,witness
CASE066-LE0343,CASE066,P0391,LOC0168,2025-12-18T18:54:00,routine,witness
CASE067-LE0344,CASE067,P0156,LOC0002,2026-01-06T08:01:00,co-location,surveillance
CASE067-LE0345,CASE067,P0258,LOC0002,2026-01-06T06:01:00,co-location,surveillance
CASE067-LE0346,CASE067,P0156,LOC0093,2025-12-28T08:01:00,routine,witness
CASE067-LE0347,CASE067,P0847,LOC0200,2025-12-27T08:01:00,routine,witness
CASE067-LE0348,CASE067,P0258,LOC0282,2026-01-05T08:01:00,routine,witness
CASE068-LE0349,CASE068,P0763,LOC0013,2026-07-02T20:00:00,co-location,surveillance
CASE068-LE0350,CASE068,P0309,LOC0013,2026-07-04T20:00:00,co-location,surveillance
CASE068-LE0351,CASE068,P0939,LOC0174,2026-07-02T00:00:00,routine,witness
CASE068-LE0352,CASE068,P0089,LOC0215,2026-07-04T00:00:00,routine,witness
CASE068-LE0353,CASE068,P0333,LOC0142,2026-06-26T00:00:00,routine,witness
CASE069-LE0354,CASE069,P0195,LOC0115,2025-05-29T18:46:00,co-location,surveillance
CASE069-LE0355,CASE069,P0846,LOC0115,2025-05-28T16:46:00,co-location,surveillance
CASE069-LE0356,CASE069,P0293,LOC0190,2025-05-28T19:46:00,routine,witness
CASE069-LE0357,CASE069,P0737,LOC0153,2025-05-17T19:46:00,routine,witness
CASE069-LE0358,CASE069,P0079,LOC0009,2025-05-20T19:46:00,routine,witness
CASE070-LE0359,CASE070,P0300,LOC0033,2025-09-10T19:16:00,co-location,surveillance
CASE070-LE0360,CASE070,P0357,LOC0033,2025-09-11T19:16:00,co-location,surveillance
CASE070-LE0361,CASE070,P0270,LOC0205,2025-09-03T19:16:00,routine,witness
CASE070-LE0362,CASE070,P0738,LOC0061,2025-08-31T19:16:00,routine,witness
CASE070-LE0363,CASE070,P0770,LOC0125,2025-09-10T19:16:00,routine,witness
CASE071-LE0364,CASE071,P0662,LOC0253,2026-03-25T08:34:00,co-location,surveillance
CASE071-LE0365,CASE071,P0023,LOC0253,2026-03-27T10:34:00,co-location,surveillance
CASE071-LE0366,CASE071,P0508,LOC0253,2026-03-27T11:34:00,co-location,surveillance
CASE071-LE0367,CASE071,P0341,LOC0151,2026-03-24T12:34:00,routine,witness
CASE071-LE0368,CASE071,P0553,LOC0143,2026-03-26T12:34:00,routine,witness
CASE071-LE0369,CASE071,P0378,LOC0193,2026-03-22T12:34:00,routine,witness
CASE072-LE0370,CASE072,P0958,LOC0195,2025-08-21T05:34:00,co-location,surveillance
CASE072-LE0371,CASE072,P0650,LOC0195,2025-08-24T08:34:00,co-location,surveillance
CASE072-LE0372,CASE072,P0754,LOC0086,2025-08-18T08:34:00,routine,witness
CASE072-LE0373,CASE072,P0281,LOC0113,2025-08-13T08:34:00,routine,witness
CASE072-LE0374,CASE072,P0883,LOC0110,2025-08-11T08:34:00,routine,witness
CASE073-LE0375,CASE073,P0664,LOC0214,2026-06-11T00:06:00,co-location,surveillance
CASE073-LE0376,CASE073,P0450,LOC0214,2026-06-13T01:06:00,co-location,surveillance
CASE073-LE0377,CASE073,P0011,LOC0271,2026-06-08T03:06:00,routine,witness
CASE073-LE0378,CASE073,P0143,LOC0084,2026-06-09T03:06:00,routine,witness
CASE073-LE0379,CASE073,P0987,LOC0249,2026-06-11T03:06:00,routine,witness
CASE074-LE0380,CASE074,P0884,LOC0013,2025-10-16T19:19:00,co-location,surveillance
CASE074-LE0381,CASE074,P0056,LOC0013,2025-10-17T21:19:00,co-location,surveillance
CASE074-LE0382,CASE074,P0309,LOC0248,2025-10-13T22:19:00,routine,witness
CASE074-LE0383,CASE074,P0597,LOC0216,2025-10-15T22:19:00,routine,witness
CASE074-LE0384,CASE074,P0317,LOC0168,2025-10-15T22:19:00,routine,witness
CASE075-LE0385,CASE075,P0460,LOC0297,2026-02-21T04:39:00,co-location,surveillance
CASE075-LE0386,CASE075,P0571,LOC0297,2026-02-20T02:39:00,co-location,surveillance
CASE075-LE0387,CASE075,P0014,LOC0260,2026-02-10T06:39:00,routine,witness
CASE075-LE0388,CASE075,P0317,LOC0026,2026-02-13T06:39:00,routine,witness
CASE075-LE0389,CASE075,P0460,LOC0131,2026-02-07T06:39:00,routine,witness
CASE076-LE0390,CASE076,P0947,LOC0073,2026-04-28T13:31:00,co-location,surveillance
CASE076-LE0391,CASE076,P0559,LOC0073,2026-04-27T14:31:00,co-location,surveillance
CASE076-LE0392,CASE076,P0095,LOC0241,2026-04-19T18:31:00,routine,witness
CASE076-LE0393,CASE076,P0947,LOC0174,2026-04-27T18:31:00,routine,witness
CASE076-LE0394,CASE076,P0771,LOC0151,2026-04-30T18:31:00,routine,witness
CASE077-LE0395,CASE077,P0664,LOC0211,2025-07-21T15:34:00,co-location,surveillance
CASE077-LE0396,CASE077,P0775,LOC0211,2025-07-20T18:34:00,co-location,surveillance
CASE077-LE0397,CASE077,P0649,LOC0146,2025-07-20T18:34:00,routine,witness
CASE077-LE0398,CASE077,P0169,LOC0012,2025-07-10T18:34:00,routine,witness
CASE077-LE0399,CASE077,P0692,LOC0109,2025-07-11T18:34:00,routine,witness
CASE078-LE0400,CASE078,P0200,LOC0102,2026-07-10T11:19:00,co-location,surveillance
CASE078-LE0401,CASE078,P0092,LOC0102,2026-07-08T11:19:00,co-location,surveillance
CASE078-LE0402,CASE078,P0295,LOC0097,2026-07-11T12:19:00,routine,witness
CASE078-LE0403,CASE078,P0148,LOC0099,2026-07-03T12:19:00,routine,witness
CASE078-LE0404,CASE078,P0597,LOC0128,2026-06-27T12:19:00,routine,witness
CASE079-LE0405,CASE079,P0701,LOC0195,2025-11-29T19:28:00,co-location,surveillance
CASE079-LE0406,CASE079,P0139,LOC0195,2025-12-01T00:28:00,co-location,surveillance
CASE079-LE0407,CASE079,P0279,LOC0195,2025-12-01T20:28:00,co-location,surveillance
CASE079-LE0408,CASE079,P0171,LOC0057,2025-12-02T00:28:00,routine,witness
CASE079-LE0409,CASE079,P0594,LOC0156,2025-11-24T00:28:00,routine,witness
CASE079-LE0410,CASE079,P0746,LOC0003,2025-11-28T00:28:00,routine,witness
CASE080-LE0411,CASE080,P0303,LOC0245,2025-10-18T21:17:00,co-location,surveillance
CASE080-LE0412,CASE080,P0779,LOC0245,2025-10-16T20:17:00,co-location,surveillance
CASE080-LE0413,CASE080,P0131,LOC0201,2025-10-18T21:17:00,routine,witness
CASE080-LE0414,CASE080,P0699,LOC0034,2025-10-09T21:17:00,routine,witness
CASE080-LE0415,CASE080,P0155,LOC0249,2025-10-17T21:17:00,routine,witness
CASE081-LE0416,CASE081,P0582,LOC0177,2025-11-01T14:18:00,co-location,surveillance
CASE081-LE0417,CASE081,P0548,LOC0177,2025-10-31T13:18:00,co-location,surveillance
CASE081-LE0418,CASE081,P0548,LOC0274,2025-10-26T16:18:00,routine,witness
CASE081-LE0419,CASE081,P0420,LOC0099,2025-10-20T16:18:00,routine,witness
CASE081-LE0420,CASE081,P0525,LOC0128,2025-11-01T16:18:00,routine,witness
CASE082-LE0421,CASE082,P0530,LOC0120,2025-09-19T07:56:00,co-location,surveillance
CASE082-LE0422,CASE082,P0107,LOC0120,2025-09-18T07:56:00,co-location,surveillance
CASE082-LE0423,CASE082,P0279,LOC0120,2025-09-21T06:56:00,co-location,surveillance
CASE082-LE0424,CASE082,P0433,LOC0185,2025-09-18T10:56:00,routine,witness
CASE082-LE0425,CASE082,P0138,LOC0020,2025-09-08T10:56:00,routine,witness
CASE082-LE0426,CASE082,P0534,LOC0047,2025-09-14T10:56:00,routine,witness
CASE083-LE0427,CASE083,P0241,LOC0175,2026-07-01T23:24:00,co-location,surveillance
CASE083-LE0428,CASE083,P0435,LOC0175,2026-07-01T20:24:00,co-location,surveillance
CASE083-LE0429,CASE083,P0066,LOC0263,2026-06-27T01:24:00,routine,witness
CASE083-LE0430,CASE083,P0671,LOC0006,2026-06-19T01:24:00,routine,witness
CASE083-LE0431,CASE083,P0321,LOC0126,2026-06-19T01:24:00,routine,witness
CASE084-LE0432,CASE084,P0647,LOC0123,2026-05-30T11:09:00,co-location,surveillance
CASE084-LE0433,CASE084,P0862,LOC0123,2026-05-31T11:09:00,co-location,surveillance
CASE084-LE0434,CASE084,P0960,LOC0092,2026-05-27T16:09:00,routine,witness
CASE084-LE0435,CASE084,P0185,LOC0250,2026-05-31T16:09:00,routine,witness
CASE084-LE0436,CASE084,P0875,LOC0003,2026-05-21T16:09:00,routine,witness
CASE085-LE0437,CASE085,P0182,LOC0129,2026-05-25T04:57:00,co-location,surveillance
CASE085-LE0438,CASE085,P0605,LOC0129,2026-05-27T06:57:00,co-location,surveillance
CASE085-LE0439,CASE085,P0158,LOC0129,2026-05-26T08:57:00,co-location,surveillance
CASE085-LE0440,CASE085,P0329,LOC0006,2026-05-29T08:57:00,routine,witness
CASE085-LE0441,CASE085,P0957,LOC0058,2026-05-25T08:57:00,routine,witness
CASE085-LE0442,CASE085,P0105,LOC0042,2026-05-18T08:57:00,routine,witness
CASE086-LE0443,CASE086,P0301,LOC0175,2026-01-28T03:46:00,co-location,surveillance
CASE086-LE0444,CASE086,P0245,LOC0175,2026-01-30T00:46:00,co-location,surveillance
CASE086-LE0445,CASE086,P0443,LOC0175,2026-01-28T00:46:00,co-location,surveillance
CASE086-LE0446,CASE086,P0445,LOC0298,2026-01-23T05:46:00,routine,witness
CASE086-LE0447,CASE086,P0020,LOC0023,2026-01-30T05:46:00,routine,witness
CASE086-LE0448,CASE086,P0513,LOC0298,2026-01-25T05:46:00,routine,witness
CASE087-LE0449,CASE087,P0359,LOC0177,2025-12-06T04:17:00,co-location,surveillance
CASE087-LE0450,CASE087,P0826,LOC0177,2025-12-08T05:17:00,co-location,surveillance
CASE087-LE0451,CASE087,P0638,LOC0089,2025-12-09T07:17:00,routine,witness
CASE087-LE0452,CASE087,P0826,LOC0246,2025-12-01T07:17:00,routine,witness
CASE087-LE0453,CASE087,P0024,LOC0246,2025-11-25T07:17:00,routine,witness
CASE088-LE0454,CASE088,P0651,LOC0029,2025-06-25T19:41:00,co-location,surveillance
CASE088-LE0455,CASE088,P0187,LOC0029,2025-06-24T18:41:00,co-location,surveillance
CASE088-LE0456,CASE088,P0279,LOC0029,2025-06-25T19:41:00,co-location,surveillance
CASE088-LE0457,CASE088,P0187,LOC0175,2025-06-23T22:41:00,routine,witness
CASE088-LE0458,CASE088,P0016,LOC0221,2025-06-22T22:41:00,routine,witness
CASE088-LE0459,CASE088,P0463,LOC0033,2025-06-12T22:41:00,routine,witness
CASE089-LE0460,CASE089,P0172,LOC0158,2026-04-01T23:03:00,co-location,surveillance
CASE089-LE0461,CASE089,P0777,LOC0158,2026-04-02T20:03:00,co-location,surveillance
CASE089-LE0462,CASE089,P0777,LOC0125,2026-04-01T23:03:00,routine,witness
CASE089-LE0463,CASE089,P0051,LOC0131,2026-03-21T23:03:00,routine,witness
CASE089-LE0464,CASE089,P0014,LOC0091,2026-04-03T23:03:00,routine,witness
CASE090-LE0465,CASE090,P0906,LOC0052,2026-04-19T15:37:00,co-location,surveillance
CASE090-LE0466,CASE090,P0623,LOC0052,2026-04-18T15:37:00,co-location,surveillance
CASE090-LE0467,CASE090,P0703,LOC0075,2026-04-20T20:37:00,routine,witness
CASE090-LE0468,CASE090,P0883,LOC0074,2026-04-11T20:37:00,routine,witness
CASE090-LE0469,CASE090,P0987,LOC0236,2026-04-07T20:37:00,routine,witness
CASE091-LE0470,CASE091,P0462,LOC0180,2026-01-11T20:52:00,co-location,surveillance
CASE091-LE0471,CASE091,P0095,LOC0180,2026-01-10T20:52:00,co-location,surveillance
CASE091-LE0472,CASE091,P0828,LOC0180,2026-01-11T21:52:00,co-location,surveillance
CASE091-LE0473,CASE091,P0462,LOC0171,2026-01-12T00:52:00,routine,witness
CASE091-LE0474,CASE091,P0048,LOC0152,2026-01-09T00:52:00,routine,witness
CASE091-LE0475,CASE091,P0657,LOC0296,2026-01-13T00:52:00,routine,witness
CASE092-LE0476,CASE092,P0706,LOC0285,2025-10-27T07:02:00,co-location,surveillance
CASE092-LE0477,CASE092,P0980,LOC0285,2025-10-26T09:02:00,co-location,surveillance
CASE092-LE0478,CASE092,P0842,LOC0060,2025-10-21T09:02:00,routine,witness
CASE092-LE0479,CASE092,P0706,LOC0231,2025-10-18T09:02:00,routine,witness
CASE092-LE0480,CASE092,P0472,LOC0176,2025-10-15T09:02:00,routine,witness
CASE093-LE0481,CASE093,P0531,LOC0245,2025-08-09T16:32:00,co-location,surveillance
CASE093-LE0482,CASE093,P0332,LOC0245,2025-08-08T17:32:00,co-location,surveillance
CASE093-LE0483,CASE093,P0455,LOC0232,2025-08-12T20:32:00,routine,witness
CASE093-LE0484,CASE093,P0531,LOC0083,2025-08-01T20:32:00,routine,witness
CASE093-LE0485,CASE093,P0039,LOC0060,2025-08-01T20:32:00,routine,witness
CASE094-LE0486,CASE094,P0681,LOC0229,2026-05-16T21:43:00,co-location,surveillance
CASE094-LE0487,CASE094,P0502,LOC0229,2026-05-16T19:43:00,co-location,surveillance
CASE094-LE0488,CASE094,P0907,LOC0228,2026-05-05T21:43:00,routine,witness
CASE094-LE0489,CASE094,P0076,LOC0064,2026-05-17T21:43:00,routine,witness
CASE094-LE0490,CASE094,P0043,LOC0100,2026-05-04T21:43:00,routine,witness
CASE095-LE0491,CASE095,P0236,LOC0266,2026-07-16T12:07:00,co-location,surveillance
CASE095-LE0492,CASE095,P0682,LOC0266,2026-07-18T14:07:00,co-location,surveillance
CASE095-LE0493,CASE095,P0876,LOC0216,2026-07-08T16:07:00,routine,witness
CASE095-LE0494,CASE095,P0679,LOC0098,2026-07-16T16:07:00,routine,witness
CASE095-LE0495,CASE095,P0653,LOC0213,2026-07-10T16:07:00,routine,witness
CASE096-LE0496,CASE096,P0673,LOC0128,2026-01-14T05:05:00,co-location,surveillance
CASE096-LE0497,CASE096,P0331,LOC0128,2026-01-13T05:05:00,co-location,surveillance
CASE096-LE0498,CASE096,P0279,LOC0128,2026-01-14T04:05:00,co-location,surveillance
CASE096-LE0499,CASE096,P0301,LOC0136,2026-01-06T05:05:00,routine,witness
CASE096-LE0500,CASE096,P0331,LOC0250,2026-01-08T05:05:00,routine,witness
CASE096-LE0501,CASE096,P0597,LOC0188,2026-01-05T05:05:00,routine,witness
CASE097-LE0502,CASE097,P0890,LOC0107,2026-01-19T22:25:00,co-location,surveillance
CASE097-LE0503,CASE097,P0664,LOC0107,2026-01-18T20:25:00,co-location,surveillance
CASE097-LE0504,CASE097,P0974,LOC0107,2026-01-17T20:25:00,co-location,surveillance
CASE097-LE0505,CASE097,P0678,LOC0115,2026-01-09T00:25:00,routine,witness
CASE097-LE0506,CASE097,P0299,LOC0064,2026-01-08T00:25:00,routine,witness
CASE097-LE0507,CASE097,P0900,LOC0162,2026-01-08T00:25:00,routine,witness
CASE098-LE0508,CASE098,P0224,LOC0124,2025-12-11T11:52:00,co-location,surveillance
CASE098-LE0509,CASE098,P0103,LOC0124,2025-12-11T11:52:00,co-location,surveillance
CASE098-LE0510,CASE098,P0241,LOC0023,2025-12-02T16:52:00,routine,witness
CASE098-LE0511,CASE098,P0224,LOC0210,2025-12-08T16:52:00,routine,witness
CASE098-LE0512,CASE098,P0690,LOC0124,2025-12-09T16:52:00,routine,witness
CASE099-LE0513,CASE099,P0519,LOC0280,2026-06-15T08:57:00,co-location,surveillance
CASE099-LE0514,CASE099,P0935,LOC0280,2026-06-17T07:57:00,co-location,surveillance
CASE099-LE0515,CASE099,P0158,LOC0160,2026-06-04T12:57:00,routine,witness
CASE099-LE0516,CASE099,P0678,LOC0029,2026-06-14T12:57:00,routine,witness
CASE099-LE0517,CASE099,P0630,LOC0024,2026-06-06T12:57:00,routine,witness
CASE100-LE0518,CASE100,P0789,LOC0080,2026-05-24T12:07:00,co-location,surveillance
CASE100-LE0519,CASE100,P0478,LOC0080,2026-05-24T08:07:00,co-location,surveillance
CASE100-LE0520,CASE100,P0625,LOC0080,2026-05-26T08:07:00,co-location,surveillance
CASE100-LE0521,CASE100,P0098,LOC0066,2026-05-24T12:07:00,routine,witness
CASE100-LE0522,CASE100,P0625,LOC0286,2026-05-16T12:07:00,routine,witness
CASE100-LE0523,CASE100,P0598,LOC0149,2026-05-24T12:07:00,routine,witness
