:START_ID(Person),:END_ID(Person),confidence,source_record
P0380,P0340,0.73,CDR
P0340,P0101,0.8,CDR
P0101,P0397,0.61,CDR
P0397,P0970,0.57,CDR
P0970,P0386,0.93,CDR
P0386,P0602,0.73,CDR
P0602,P0914,0.75,CDR
P0914,P0518,0.79,CDR
P0518,P0167,0.59,CDR
P0167,P0208,0.65,CDR
P0208,P0731,0.83,CDR
P0731,P0431,0.84,CDR
P0431,P0594,0.61,CDR
P0594,P0334,0.93,CDR
P0334,P0898,0.53,CDR
P0898,P0803,0.77,CDR
P0803,P0522,0.56,CDR
P0522,P0932,0.7,CDR
P0932,P0675,0.92,CDR
P0675,P0832,0.62,CDR
P0832,P0827,0.54,CDR
P0827,P0060,0.87,CDR
P0060,P0661,0.56,CDR
P0661,P0552,0.6,CDR
P0552,P0351,0.53,CDR
P0351,P0629,0.65,CDR
P0629,P0353,0.54,CDR
P0531,P0714,0.74,CDR
P0060,P0176,0.3,SHARED_ORG
P0436,P0824,0.67,CDR
P0429,P0337,0.67,CDR
P0236,P0963,0.74,CDR
P0630,P0960,0.93,CDR
P0162,P0221,0.87,CDR
P0288,P0205,0.61,CDR
P0967,P0240,0.87,CDR
P0366,P0885,0.84,CDR
P0384,P0963,0.65,CDR
P0544,P0249,0.83,CDR
P0212,P0391,0.92,CDR
P0404,P0824,0.64,CDR
P0169,P0221,0.72,CDR
P0070,P0249,0.67,CDR
P0038,P0885,0.81,CDR
P0318,P0451,0.88,CDR
P0882,P0249,0.72,CDR
P0772,P0240,0.66,CDR
P0206,P0963,0.58,CDR
P0241,P0885,0.58,CDR
P0482,P0451,0.7,CDR
P0263,P0451,0.55,CDR
P0684,P0221,0.89,CDR
P0590,P0565,0.69,CDR
P0666,P0865,0.9,CDR
P0780,P0297,0.92,CDR
P0221,P0387,0.65,CDR
P0635,P0245,0.6,CDR
P0960,P0364,0.6,CDR
P0205,P0421,0.89,CDR
P0063,P0421,0.85,CDR
P0266,P0387,0.64,CDR
P0391,P0328,0.52,CDR
P0963,P0438,0.55,CDR
P0219,P0731,0.76,CDR
P0250,P0310,0.64,CDR
P0249,P0422,0.95,CDR
P0297,P0422,0.87,CDR
P0337,P0302,0.76,CDR
P0565,P0310,0.69,CDR
P0885,P0925,0.8,CDR
P0736,P0302,0.87,CDR
P0865,P0364,0.91,CDR
P0352,P0731,0.89,CDR
P0878,P0310,0.64,CDR
P0824,P0158,0.59,CDR
P0451,P0074,0.83,CDR
P0529,P0074,0.63,CDR
P0240,P0806,0.53,CDR
P0491,P0541,0.75,CDR
P0353,P0182,0.73,CDR
P0850,P0438,0.56,CDR
P0352,P0266,0.3,SHARED_ORG
P0510,P0603,0.82,CDR
P0510,P0711,0.57,CDR
P0603,P0711,0.74,CDR
P0603,P0223,0.57,CDR
P0711,P0223,0.68,CDR
P0711,P0550,0.68,CDR
P0223,P0550,0.69,CDR
P0223,P0900,0.85,CDR
P0550,P0900,0.8,CDR
P0550,P0751,0.82,CDR
P0900,P0751,0.81,CDR
P0900,P0625,0.51,CDR
P0751,P0625,0.74,CDR
P0751,P0510,0.3,SHARED_ORG
P0689,P0759,0.64,CDR
P0759,P0734,0.77,CDR
P0734,P0095,0.68,CDR
P0095,P0903,0.75,CDR
P0903,P0290,0.6,CDR
P0290,P0069,0.88,CDR
P0069,P0577,0.56,CDR
P0577,P0162,0.59,CDR
P0162,P0034,0.67,CDR
P0034,P0843,0.56,CDR
P0843,P0397,0.78,CDR
P0397,P0187,0.9,CDR
P0187,P0992,0.86,CDR
P0992,P0946,0.93,CDR
P0946,P0473,0.52,CDR
P0473,P0979,0.71,CDR
P0979,P0767,0.91,CDR
P0767,P0895,0.72,CDR
P0895,P0431,0.74,CDR
P0431,P0851,0.75,CDR
P0851,P0773,0.87,CDR
P0773,P0394,0.95,CDR
P0394,P0153,0.93,CDR
P0153,P0849,0.83,CDR
P0849,P0883,0.86,CDR
P0883,P0094,0.7,CDR
P0992,P0473,0.3,SHARED_ORG
P0627,P0126,0.61,CDR
P0126,P0811,0.8,CDR
P0811,P0937,0.58,CDR
P0937,P0203,0.78,CDR
P0203,P0943,0.93,CDR
P0943,P0532,0.52,CDR
P0532,P0292,0.6,CDR
P0292,P0149,0.76,CDR
P0149,P0153,0.83,CDR
P0153,P0995,0.63,CDR
P0995,P0547,0.52,CDR
P0547,P0068,0.74,CDR
P0068,P0558,0.55,CDR
P0558,P0688,0.68,CDR
P0688,P0870,0.89,CDR
P0870,P0327,0.74,CDR
P0327,P0218,0.75,CDR
P0218,P0823,0.51,CDR
P0823,P0692,0.83,CDR
P0692,P0971,0.53,CDR
P0971,P0586,0.8,CDR
P0586,P0975,0.93,CDR
P0975,P0154,0.76,CDR
P0154,P0664,0.93,CDR
P0664,P0258,0.76,CDR
P0258,P0066,0.69,CDR
P0066,P0541,0.67,CDR
P0541,P0259,0.72,CDR
P0259,P0899,0.54,CDR
P0899,P0467,0.59,CDR
P0467,P0158,0.84,CDR
P0899,P0066,0.3,SHARED_ORG
P0813,P0054,0.69,CDR
P0054,P0250,0.79,CDR
P0250,P0648,0.77,CDR
P0648,P0502,0.87,CDR
P0502,P0146,0.63,CDR
P0431,P0430,0.55,CDR
P0430,P0588,0.56,CDR
P0588,P0226,0.7,CDR
P0226,P0414,0.63,CDR
P0414,P0003,0.8,CDR
P0003,P0170,0.85,CDR
P0146,P0431,0.65,CDR
P0146,P0502,0.3,SHARED_ORG
P0849,P0341,0.91,CDR
P0125,P0171,0.83,CDR
P0378,P0822,0.79,CDR
P0842,P0933,0.56,CDR
P0634,P0810,0.94,CDR
P0282,P0870,0.66,CDR
P0597,P0986,0.69,CDR
P0322,P0901,0.68,CDR
P0791,P0845,0.86,CDR
P0901,P0810,0.3,SHARED_ORG
P0026,P0501,0.66,CDR
P0374,P0320,0.89,CDR
P0477,P0327,0.89,CDR
P0813,P0375,0.92,CDR
P0740,P0011,0.8,CDR
P0857,P0354,0.87,CDR
P0411,P0027,0.81,CDR
P0269,P0818,0.51,CDR
P0984,P0883,0.56,CDR
P0355,P0055,0.88,CDR
P0697,P0716,0.81,CDR
P0478,P0880,0.7,CDR
P0409,P0489,0.57,CDR
P0810,P0016,0.89,CDR
P0069,P0184,0.63,CDR
P0758,P0920,0.53,CDR
P0266,P0596,0.84,CDR
P0069,P0069,0.3,SHARED_ORG
P0323,P0805,0.81,CDR
P0117,P0170,0.78,CDR
P0160,P0978,0.66,CDR
P0694,P0595,0.67,CDR
P0139,P0999,0.83,CDR
P0998,P0211,0.52,CDR
P0533,P0440,0.82,CDR
P0778,P0927,0.87,CDR
P0770,P0495,0.56,CDR
P0016,P0494,0.67,CDR
P0107,P0603,0.6,CDR
P0539,P0260,0.9,CDR
P0898,P0997,0.51,CDR
P0723,P0466,0.54,CDR
P0541,P0480,0.86,CDR
P0492,P0885,0.93,CDR
P0922,P0514,0.61,CDR
P0940,P0656,0.61,CDR
P0034,P0055,0.82,CDR
P0593,P0611,0.88,CDR
P0629,P0780,0.86,CDR
P0022,P0575,0.7,CDR
P0269,P0263,0.9,CDR
P0327,P0423,0.61,CDR
P0243,P0929,0.69,CDR
P0788,P0058,0.85,CDR
P0484,P0100,0.57,CDR
P0585,P0353,0.57,CDR
P0763,P0869,0.93,CDR
P0787,P0481,0.83,CDR
P0802,P0883,0.75,CDR
P0919,P0094,0.89,CDR
P0738,P0120,0.91,CDR
P0207,P0948,0.94,CDR
P0281,P0635,0.7,CDR
P0033,P0512,0.82,CDR
P0192,P0887,0.85,CDR
P0557,P0054,0.57,CDR
P0514,P0260,0.3,SHARED_ORG
P0019,P0207,0.66,CDR
P0791,P0994,0.69,CDR
P0918,P0773,0.78,CDR
P0615,P0207,0.67,CDR
P0716,P0649,0.8,CDR
P0210,P0773,0.51,CDR
P0614,P0583,0.84,CDR
P0207,P0138,0.84,CDR
P0773,P0583,0.77,CDR
P0994,P0631,0.72,CDR
P0832,P0138,0.87,CDR
P0649,P0138,0.58,CDR
P0832,P0918,0.3,SHARED_ORG
P0535,P0490,0.51,CDR
P0490,P0979,0.93,CDR
P0979,P0095,0.71,CDR
P0095,P0059,0.79,CDR
P0059,P0844,0.57,CDR
P0844,P0560,0.74,CDR
P0560,P0675,0.62,CDR
P0675,P0642,0.93,CDR
P0642,P0823,0.73,CDR
P0823,P0752,0.92,CDR
P0752,P0799,0.55,CDR
P0799,P0388,0.6,CDR
P0388,P0094,0.78,CDR
P0752,P0560,0.3,SHARED_ORG
P0287,P0216,0.78,CDR
P0216,P0251,0.83,CDR
P0251,P0216,0.3,SHARED_ORG
P0414,P0894,0.6,CDR
P0414,P0856,0.73,CDR
P0414,P0418,0.51,CDR
P0414,P0770,0.65,CDR
P0414,P0180,0.73,CDR
P0414,P0483,0.72,CDR
P0414,P0938,0.58,CDR
P0414,P0064,0.83,CDR
P0414,P0124,0.92,CDR
P0414,P0660,0.64,CDR
P0414,P0076,0.56,CDR
P0414,P0235,0.8,CDR
P0414,P0387,0.57,CDR
P0414,P0925,0.76,CDR
P0414,P0299,0.76,CDR
P0414,P0244,0.9,CDR
P0414,P0291,0.52,CDR
P0414,P0530,0.53,CDR
P0414,P0243,0.55,CDR
P0414,P0261,0.65,CDR
P0414,P0727,0.57,CDR
P0414,P0587,0.66,CDR
P0414,P0832,0.6,CDR
P0414,P0210,0.67,CDR
P0414,P0070,0.69,CDR
P0414,P0537,0.88,CDR
P0414,P0968,0.51,CDR
P0414,P0930,0.86,CDR
P0414,P0741,0.63,CDR
P0414,P0236,0.57,CDR
P0414,P0361,0.58,CDR
P0414,P0569,0.56,CDR
P0414,P0628,0.59,CDR
P0414,P0276,0.62,CDR
P0414,P0931,0.81,CDR
P0414,P0100,0.77,CDR
P0414,P0193,0.67,CDR
P0414,P0839,0.76,CDR
P0414,P0428,0.51,CDR
P0414,P0729,0.61,CDR
P0414,P0564,0.82,CDR
P0414,P0001,0.66,CDR
P0414,P0423,0.66,CDR
P0414,P0252,0.87,CDR
P0414,P0590,0.72,CDR
P0414,P0278,0.74,CDR
P0414,P0306,0.72,CDR
P0414,P0972,0.51,CDR
P0414,P0020,0.53,CDR
P0414,P0300,0.82,CDR
P0414,P0634,0.58,CDR
P0587,P0729,0.3,SHARED_ORG
P0970,P0954,0.66,CDR
P0954,P0595,0.86,CDR
P0595,P0351,0.93,CDR
P0351,P0851,0.79,CDR
P0851,P0437,0.75,CDR
P0437,P0442,0.87,CDR
P0442,P0644,0.65,CDR
P0351,P0851,0.3,SHARED_ORG
P0557,P0441,0.51,CDR
P0557,P0599,0.81,CDR
P0723,P0094,0.82,CDR
P0557,P0926,0.53,CDR
P0557,P0063,0.53,CDR
P0723,P0159,0.6,CDR
P0723,P0644,0.75,CDR
P0723,P0047,0.76,CDR
P0557,P0708,0.73,CDR
P0723,P0419,0.73,CDR
P0723,P0852,0.84,CDR
P0723,P0545,0.88,CDR
P0723,P0881,0.66,CDR
P0723,P0609,0.66,CDR
P0723,P0004,0.85,CDR
P0004,P0708,0.3,SHARED_ORG
P0899,P0938,0.78,CDR
P0938,P0818,0.6,CDR
P0818,P0514,0.68,CDR
P0514,P0426,0.9,CDR
P0426,P0781,0.87,CDR
P0781,P0239,0.68,CDR
P0239,P0158,0.58,CDR
P0239,P0899,0.3,SHARED_ORG
P0826,P0285,0.66,CDR
P0826,P0054,0.6,CDR
P0285,P0054,0.67,CDR
P0285,P0608,0.59,CDR
P0054,P0608,0.53,CDR
P0054,P0458,0.65,CDR
P0608,P0458,0.51,CDR
P0608,P0364,0.77,CDR
P0458,P0364,0.89,CDR
P0458,P0085,0.54,CDR
P0364,P0085,0.53,CDR
P0364,P0244,0.52,CDR
P0085,P0244,0.82,CDR
P0085,P0234,0.66,CDR
P0244,P0234,0.81,CDR
P0244,P0463,0.93,CDR
P0234,P0463,0.93,CDR
P0234,P0730,0.75,CDR
P0463,P0730,0.79,CDR
P0463,P0564,0.54,CDR
P0730,P0564,0.6,CDR
P0730,P0279,0.83,CDR
P0564,P0279,0.94,CDR
P0564,P0981,0.67,CDR
P0279,P0981,0.74,CDR
P0279,P0597,0.89,CDR
P0981,P0597,0.62,CDR
P0981,P0143,0.53,CDR
P0597,P0143,0.84,CDR
P0597,P0581,0.73,CDR
P0143,P0581,0.93,CDR
P0143,P0264,0.93,CDR
P0581,P0264,0.85,CDR
P0581,P0817,0.8,CDR
P0264,P0817,0.78,CDR
P0264,P0004,0.81,CDR
P0817,P0004,0.53,CDR
P0817,P0894,0.6,CDR
P0004,P0894,0.67,CDR
P0004,P0342,0.53,CDR
P0894,P0342,0.83,CDR
P0894,P0920,0.62,CDR
P0342,P0920,0.89,CDR
P0342,P0425,0.65,CDR
P0920,P0425,0.55,CDR
P0920,P0490,0.52,CDR
P0425,P0490,0.69,CDR
P0425,P0711,0.84,CDR
P0490,P0711,0.7,CDR
P0490,P0984,0.71,CDR
P0711,P0984,0.68,CDR
P0711,P0737,0.83,CDR
P0984,P0737,0.73,CDR
P0984,P0811,0.85,CDR
P0737,P0811,0.65,CDR
P0737,P0047,0.65,CDR
P0811,P0047,0.9,CDR
P0811,P0697,0.94,CDR
P0047,P0697,0.88,CDR
P0047,P0961,0.93,CDR
P0697,P0961,0.81,CDR
P0697,P0093,0.54,CDR
P0961,P0093,0.95,CDR
P0961,P0231,0.78,CDR
P0093,P0231,0.81,CDR
P0093,P0089,0.82,CDR
P0231,P0089,0.63,CDR
P0231,P0033,0.68,CDR
P0089,P0033,0.87,CDR
P0089,P0945,0.89,CDR
P0033,P0945,0.61,CDR
P0033,P0735,0.72,CDR
P0945,P0735,0.8,CDR
P0945,P0139,0.69,CDR
P0735,P0139,0.85,CDR
P0735,P0947,0.74,CDR
P0139,P0947,0.91,CDR
P0139,P0302,0.53,CDR
P0947,P0302,0.85,CDR
P0947,P0477,0.78,CDR
P0302,P0477,0.86,CDR
P0302,P0621,0.55,CDR
P0477,P0621,0.78,CDR
P0477,P0549,0.6,CDR
P0621,P0549,0.85,CDR
P0621,P0413,0.81,CDR
P0549,P0413,0.77,CDR
P0549,P0729,0.75,CDR
P0413,P0729,0.57,CDR
P0413,P0024,0.79,CDR
P0729,P0024,0.54,CDR
P0729,P0485,0.65,CDR
P0024,P0485,0.85,CDR
P0024,P0766,0.83,CDR
P0485,P0766,0.61,CDR
P0485,P0319,0.54,CDR
P0766,P0319,0.72,CDR
P0766,P0733,0.64,CDR
P0319,P0733,0.61,CDR
P0342,P0485,0.3,SHARED_ORG
P0869,P0581,0.94,CDR
P0581,P0335,0.74,CDR
P0335,P0581,0.3,SHARED_ORG
P0772,P0917,0.75,CDR
P0772,P0714,0.81,CDR
P0917,P0714,0.8,CDR
P0917,P0659,0.52,CDR
P0714,P0659,0.74,CDR
P0714,P0311,0.75,CDR
P0659,P0311,0.84,CDR
P0659,P0176,0.61,CDR
P0311,P0176,0.6,CDR
P0311,P0535,0.5,CDR
P0176,P0535,0.86,CDR
P0176,P0186,0.78,CDR
P0535,P0186,0.92,CDR
P0535,P0095,0.55,CDR
P0186,P0095,0.57,CDR
P0186,P0461,0.84,CDR
P0095,P0461,0.89,CDR
P0095,P0544,0.53,CDR
P0461,P0544,0.9,CDR
P0461,P0153,0.71,CDR
P0544,P0153,0.83,CDR
P0544,P0640,0.62,CDR
P0153,P0640,0.89,CDR
P0153,P0382,0.85,CDR
P0640,P0382,0.55,CDR
P0640,P0954,0.84,CDR
P0382,P0954,0.89,CDR
P0382,P0610,0.85,CDR
P0954,P0610,0.59,CDR
P0954,P0759,0.92,CDR
P0610,P0759,0.83,CDR
P0610,P0636,0.85,CDR
P0759,P0636,0.92,CDR
P0759,P0124,0.79,CDR
P0636,P0124,0.57,CDR
P0636,P0947,0.93,CDR
P0124,P0947,0.74,CDR
P0124,P0928,0.88,CDR
P0947,P0928,0.8,CDR
P0947,P0729,0.58,CDR
P0928,P0729,0.8,CDR
P0928,P0410,0.76,CDR
P0729,P0410,0.77,CDR
P0729,P0310,0.88,CDR
P0410,P0310,0.83,CDR
P0410,P0534,0.74,CDR
P0310,P0534,0.54,CDR
P0310,P0671,0.75,CDR
P0534,P0671,0.61,CDR
P0759,P0954,0.3,SHARED_ORG
P0431,P0529,0.62,CDR
P0431,P0513,0.95,CDR
P0431,P0754,0.65,CDR
P0431,P0013,0.64,CDR
P0431,P0427,0.58,CDR
P0431,P0490,0.72,CDR
P0431,P0512,0.6,CDR
P0431,P0588,0.81,CDR
P0431,P0546,0.76,CDR
P0431,P0987,0.81,CDR
P0431,P0954,0.57,CDR
P0431,P0217,0.76,CDR
P0431,P0468,0.7,CDR
P0431,P0772,0.71,CDR
P0431,P0194,0.94,CDR
P0431,P0583,0.57,CDR
P0431,P0907,0.7,CDR
P0431,P0043,0.89,CDR
P0194,P0431,0.3,SHARED_ORG
P0310,P0133,0.51,CDR
P0310,P0844,0.91,CDR
P0310,P0984,0.85,CDR
P0310,P0074,0.9,CDR
P0844,P0984,0.3,SHARED_ORG
P0227,P0758,0.75,CDR
P0227,P0747,0.57,CDR
P0689,P0800,0.68,CDR
P0227,P0449,0.73,CDR
P0227,P0934,0.87,CDR
P0227,P0030,0.84,CDR
P0227,P0823,0.74,CDR
P0689,P0481,0.68,CDR
P0227,P0476,0.94,CDR
P0227,P0049,0.91,CDR
P0227,P0517,0.79,CDR
P0227,P0976,0.81,CDR
P0227,P0600,0.87,CDR
P0227,P0052,0.64,CDR
P0689,P0919,0.81,CDR
P0227,P0892,0.67,CDR
P0689,P0729,0.51,CDR
P0052,P0517,0.3,SHARED_ORG
P0125,P0916,0.77,CDR
P0916,P0573,0.53,CDR
P0573,P0755,0.52,CDR
P0755,P0242,0.85,CDR
P0242,P0748,0.79,CDR
P0748,P0281,0.86,CDR
P0768,P0297,0.81,CDR
P0297,P0002,0.58,CDR
P0002,P0785,0.62,CDR
P0785,P0261,0.57,CDR
P0261,P0491,0.54,CDR
P0491,P0055,0.74,CDR
P0281,P0768,0.64,CDR
P0281,P0491,0.3,SHARED_ORG
P0170,P0498,0.63,CDR
P0170,P0296,0.58,CDR
P0296,P0170,0.3,SHARED_ORG
P0296,P0817,0.74,CDR
P0817,P0195,0.94,CDR
P0195,P0443,0.88,CDR
P0195,P0817,0.3,SHARED_ORG
P0632,P0230,0.77,CDR
P0482,P0359,0.75,CDR
P0394,P0709,0.74,CDR
P0947,P0053,0.86,CDR
P0378,P0230,0.55,CDR
P0005,P0264,0.68,CDR
P0231,P0053,0.78,CDR
P0346,P0264,0.92,CDR
P0228,P0894,0.5,CDR
P0564,P0124,0.65,CDR
P0593,P0359,0.51,CDR
P0930,P0894,0.58,CDR
P0053,P0111,0.93,CDR
P0673,P0297,0.77,CDR
P0124,P0144,0.6,CDR
P0894,P0506,0.66,CDR
P0422,P0558,0.73,CDR
P0734,P0961,0.63,CDR
P0235,P0111,0.73,CDR
P0264,P0297,0.91,CDR
P0359,P0297,0.57,CDR
P0230,P0873,0.9,CDR
P0563,P0035,0.67,CDR
P0709,P0144,0.63,CDR
P0419,P0378,0.3,SHARED_ORG
P0736,P0837,0.54,CDR
P0145,P0224,0.54,CDR
P0923,P0507,0.55,CDR
P0324,P0165,0.76,CDR
P0662,P0059,0.79,CDR
P0998,P0172,0.67,CDR
P0153,P0896,0.85,CDR
P0405,P0156,0.79,CDR
P1000,P0616,0.88,CDR
P0274,P0843,0.78,CDR
P0147,P0818,0.71,CDR
P0287,P0417,0.64,CDR
P0125,P0755,0.83,CDR
P0224,P0059,0.3,SHARED_ORG
P0118,P0156,0.65,CDR
P0118,P0700,0.57,CDR
P0118,P0393,0.89,CDR
P0118,P0486,0.77,CDR
P0118,P0691,0.79,CDR
P0118,P0046,0.65,CDR
P0118,P0433,0.89,CDR
P0118,P0503,0.89,CDR
P0118,P0272,0.94,CDR
P0118,P0136,0.64,CDR
P0118,P0630,0.72,CDR
P0118,P0544,0.62,CDR
P0118,P0533,0.75,CDR
P0118,P0080,0.71,CDR
P0118,P0065,0.87,CDR
P0118,P0575,0.66,CDR
P0118,P0653,0.68,CDR
P0118,P0843,0.58,CDR
P0118,P0430,0.55,CDR
P0118,P0453,0.64,CDR
P0118,P0333,0.53,CDR
P0118,P0534,0.79,CDR
P0118,P0720,0.92,CDR
P0118,P0021,0.71,CDR
P0118,P0686,0.89,CDR
P0118,P0816,0.8,CDR
P0118,P0984,0.84,CDR
P0118,P0013,0.71,CDR
P0118,P0938,0.79,CDR
P0118,P0190,0.8,CDR
P0118,P0278,0.69,CDR
P0118,P0378,0.89,CDR
P0118,P0942,0.68,CDR
P0118,P0582,0.52,CDR
P0118,P0732,0.63,CDR
P0118,P0956,0.8,CDR
P0118,P0998,0.58,CDR
P0118,P0180,0.79,CDR
P0118,P0482,0.61,CDR
P0118,P0227,0.72,CDR
P0118,P0943,0.56,CDR
P0118,P0401,0.71,CDR
P0118,P0441,0.58,CDR
P0942,P0393,0.3,SHARED_ORG
P0009,P0201,0.73,CDR
P0009,P0145,0.77,CDR
P0145,P0201,0.3,SHARED_ORG
P0086,P0716,0.61,CDR
P0716,P0783,0.87,CDR
P0783,P0783,0.3,SHARED_ORG
P0968,P0494,0.71,CDR
P0494,P0774,0.57,CDR
P0774,P0808,0.94,CDR
P0808,P0438,0.66,CDR
P0438,P0874,0.88,CDR
P0874,P0873,0.56,CDR
P0873,P0241,0.6,CDR
P0241,P0988,0.81,CDR
P0988,P0901,0.72,CDR
P0901,P0688,0.8,CDR
P0688,P0158,0.57,CDR
P0873,P0688,0.3,SHARED_ORG
P0497,P0126,0.59,CDR
P0366,P0126,0.72,CDR
P0251,P0053,0.88,CDR
P0126,P0053,0.53,CDR
P0126,P0287,0.3,SHARED_ORG
P0476,P0101,0.83,CDR
P0117,P0563,0.65,CDR
P0712,P0398,0.66,CDR
P0856,P0430,0.62,CDR
P0426,P0402,0.84,CDR
P0981,P0280,0.92,CDR
P0996,P0711,0.95,CDR
P0964,P0890,0.72,CDR
P0964,P0890,0.3,SHARED_ORG
P0179,P0725,0.76,CDR
P0179,P0688,0.57,CDR
P0725,P0688,0.82,CDR
P0725,P0485,0.76,CDR
P0688,P0485,0.6,CDR
P0688,P0986,0.9,CDR
P0485,P0986,0.64,CDR
P0485,P0379,0.9,CDR
P0986,P0379,0.86,CDR
P0986,P0687,0.71,CDR
P0379,P0687,0.77,CDR
P0379,P0783,0.68,CDR
P0687,P0783,0.82,CDR
P0687,P0607,0.87,CDR
P0783,P0607,0.83,CDR
P0783,P0532,0.92,CDR
P0607,P0532,0.88,CDR
P0607,P0698,0.79,CDR
P0532,P0698,0.73,CDR
P0532,P0847,0.94,CDR
P0698,P0847,0.62,CDR
P0698,P0315,0.57,CDR
P0847,P0315,0.55,CDR
P0847,P0702,0.63,CDR
P0315,P0702,0.94,CDR
P0315,P0992,0.83,CDR
P0702,P0992,0.76,CDR
P0702,P0251,0.64,CDR
P0992,P0251,0.74,CDR
P0992,P0480,0.8,CDR
P0251,P0480,0.57,CDR
P0251,P0178,0.62,CDR
P0480,P0178,0.7,CDR
P0480,P0728,0.57,CDR
P0178,P0728,0.7,CDR
P0178,P0966,0.71,CDR
P0728,P0966,0.63,CDR
P0728,P0555,0.67,CDR
P0966,P0555,0.95,CDR
P0966,P0192,0.66,CDR
P0555,P0192,0.5,CDR
P0555,P0809,0.94,CDR
P0192,P0809,0.64,CDR
P0192,P0406,0.61,CDR
P0809,P0406,0.81,CDR
P0809,P0822,0.88,CDR
P0406,P0822,0.59,CDR
P0406,P0699,0.75,CDR
P0822,P0699,0.94,CDR
P0822,P0775,0.81,CDR
P0699,P0775,0.71,CDR
P0699,P0297,0.89,CDR
P0775,P0297,0.67,CDR
P0775,P0124,0.86,CDR
P0297,P0124,0.61,CDR
P0297,P0328,0.89,CDR
P0124,P0328,0.89,CDR
P0124,P0429,0.54,CDR
P0328,P0429,0.68,CDR
P0698,P0328,0.3,SHARED_ORG
P0851,P0285,0.87,CDR
P0285,P0714,0.62,CDR
P0714,P0714,0.3,SHARED_ORG
P0637,P0821,0.67,CDR
P0821,P0193,0.58,CDR
P0193,P0543,0.6,CDR
P0543,P0187,0.52,CDR
P0187,P0487,0.56,CDR
P0487,P0862,0.55,CDR
P0373,P0771,0.91,CDR
P0771,P0424,0.51,CDR
P0424,P0426,0.72,CDR
P0426,P0602,0.9,CDR
P0602,P0350,0.78,CDR
P0350,P0828,0.88,CDR
P0862,P0373,0.62,CDR
P0187,P0187,0.3,SHARED_ORG
P0780,P0642,0.76,CDR
P0642,P0373,0.53,CDR
P0373,P0223,0.56,CDR
P0223,P0671,0.79,CDR
P0671,P0077,0.73,CDR
P0077,P0075,0.65,CDR
P0075,P0325,0.95,CDR
P0325,P0466,0.9,CDR
P0466,P0850,0.91,CDR
P0850,P0958,0.58,CDR
P0958,P0334,0.74,CDR
P0334,P0117,0.51,CDR
P0117,P0818,0.91,CDR
P0818,P0676,0.84,CDR
P0676,P0131,0.68,CDR
P0131,P0425,0.85,CDR
P0425,P0320,0.95,CDR
P0320,P0130,0.9,CDR
P0130,P0551,0.85,CDR
P0551,P0296,0.75,CDR
P0296,P0970,0.7,CDR
P0970,P0405,0.82,CDR
P0405,P0248,0.67,CDR
P0960,P0678,0.55,CDR
P0678,P0071,0.64,CDR
P0071,P0009,0.81,CDR
P0009,P0541,0.63,CDR
P0541,P0585,0.67,CDR
P0585,P0019,0.6,CDR
P0019,P0503,0.92,CDR
P0503,P0529,0.6,CDR
P0529,P0445,0.81,CDR
P0445,P0617,0.73,CDR
P0617,P0426,0.56,CDR
P0426,P0157,0.91,CDR
P0157,P0324,0.73,CDR
P0324,P0140,0.84,CDR
P0140,P0613,0.64,CDR
P0613,P0458,0.59,CDR
P0458,P0193,0.83,CDR
P0193,P0603,0.67,CDR
P0603,P0885,0.63,CDR
P0885,P0207,0.78,CDR
P0207,P0584,0.85,CDR
P0584,P0450,0.59,CDR
P0450,P0692,0.67,CDR
P0248,P0960,0.87,CDR
P0678,P0692,0.3,SHARED_ORG
P0577,P0884,0.51,CDR
P0577,P0062,0.86,CDR
P0577,P0713,0.5,CDR
P0577,P0373,0.55,CDR
P0577,P0311,0.62,CDR
P0577,P0358,0.76,CDR
P0577,P0354,0.9,CDR
P0577,P0374,0.77,CDR
P0577,P0758,0.76,CDR
P0577,P0696,0.78,CDR
P0577,P0666,0.82,CDR
P0577,P0968,0.72,CDR
P0577,P0498,0.69,CDR
P0577,P0371,0.77,CDR
P0577,P1000,0.52,CDR
P0577,P0917,0.87,CDR
P0577,P0035,0.57,CDR
P0577,P0733,0.69,CDR
P0577,P0033,0.65,CDR
P0577,P0316,0.59,CDR
P0577,P0557,0.78,CDR
P0577,P0730,0.76,CDR
P0577,P0934,0.69,CDR
P0577,P0529,0.63,CDR
P0577,P0263,0.81,CDR
P0577,P0381,0.83,CDR
P0577,P0684,0.86,CDR
P0577,P0981,0.7,CDR
P0577,P0580,0.6,CDR
P0577,P0550,0.55,CDR
P0577,P0370,0.54,CDR
P0577,P0830,0.55,CDR
P0577,P0559,0.64,CDR
P0577,P0851,0.76,CDR
P0577,P0960,0.75,CDR
P0577,P0494,0.82,CDR
P0577,P0697,0.57,CDR
P0577,P0241,0.77,CDR
P1000,P0733,0.3,SHARED_ORG
P0353,P0432,0.95,CDR
P0432,P0035,0.85,CDR
P0035,P0715,0.83,CDR
P0715,P0133,0.64,CDR
P0133,P0497,0.63,CDR
P0497,P0879,0.89,CDR
P0879,P0661,0.79,CDR
P0661,P0414,0.77,CDR
P0414,P0198,0.83,CDR
P0198,P0474,0.66,CDR
P0474,P0115,0.58,CDR
P0115,P0411,0.72,CDR
P0411,P0617,0.57,CDR
P0617,P0711,0.73,CDR
P0711,P0493,0.94,CDR
P0493,P0549,0.94,CDR
P0549,P0899,0.63,CDR
